Grade	Subject	Chapter Name	Learning Outcomes
NURSERY	English	Pre-reading Skills	Develop visual discrimination, recognize patterns.
NURSERY	English	Basic Vocabulary	Learn common everyday words, identify objects.
NURSERY	Hindi	स्वर परिचय (Vowels)	Recognize and pronounce Hindi vowels (स्वर).
NURSERY	Mathematics	Numbers 1-10 Count from 1 to 10,	recognize numerals.
NURSERY	Mathematics	Shapes and Colors	Identify basic shapes, recognize primary colors.
LKG	English	Rhymes and Poems Recite simple rhymes,	develop phonemic awareness.
LKG	English	Alphabet Recognition	Identify uppercase and lowercase letters.
LKG	Hindi	व्यंजन परिचय (Consonants)	Recognize and pronounce Hindi consonants.
LKG	Mathematics	Numbers 1-20 Count and	recognize numbers up to 20.
LKG	Mathematics	Simple Patterns	Identify and create simple patterns.
UKG	English	Simple Stories	Understand story structure, identify characters.
UKG	Hindi	सरल शब्द (Simple Words)	Read simple Hindi words.
UKG	Mathematics	Basic Addition	Add single-digit numbers.
CLASS_1	English	A Happy Child	Understand emotions, develop reading skills.
CLASS_1	English	Three Little Pigs	Comprehend story structure.
CLASS_1	English	After a Bath	Recognize daily routines.
CLASS_1	English	The Bubble	Observe nature, develop descriptive language.
CLASS_1	English	Anandi's Rainbow	Identify colors, understand natural phenomena.
CLASS_1	English	Why This Kolaveri Di	Enjoy rhythmic language.
CLASS_1	English	Mittu and the Yellow Mango	Follow narrative structure.
CLASS_1	English	Once I Saw a Little Bird	Appreciate nature poetry.
CLASS_1	English	Clouds	Use imagination, understand weather.
CLASS_1	English	A Smile	Recognize emotions, understand kindness.
CLASS_1	Hindi	पाठ १ - झूला	Understand Hindi sentences.
CLASS_1	Hindi	पाठ २ - आम की कहानी	Learn about fruits.
CLASS_1	Hindi	पाठ ३ - आम की टोकरी	Develop counting skills in Hindi.
CLASS_1	Hindi	पाठ ४ - पगड़ी	Learn about traditional clothing.
CLASS_1	Hindi	पाठ ५ - छुक-छुक गाड़ी	Understand transportation.
CLASS_1	Hindi	पाठ ६ - रसोईघर	Learn kitchen vocabulary.
CLASS_1	Hindi	पाठ ७ - चूहो! म्याऊँ सो रही है	Understand animal behavior.
CLASS_1	Mathematics	Addition	Add numbers within 9.
CLASS_1	Mathematics	Subtraction	Subtract numbers within 9.
CLASS_1	Mathematics	Time	Read time to the hour.
CLASS_1	Mathematics	Measurement	Compare lengths, use non-standard units.
CLASS_1	Mathematics	Shapes and Space	Identify 2D and 3D shapes.
CLASS_1	Mathematics	Patterns	Identify and extend patterns.
CLASS_1	EVS	Me and My Family	Understand family relationships.
CLASS_1	EVS	Plants Around Us	Identify common plants.
CLASS_1	EVS	Water	Understand water uses.
CLASS_1	EVS	Animals Around Us	Identify domestic and wild animals.
CLASS_1	EVS	Our Body	Identify body parts.
CLASS_2	English	First Day at School	Understand school experiences.
CLASS_2	English	Haldi's Adventure	Follow adventure narratives.
CLASS_2	English	I am Lucky	Recognize personal strengths.
CLASS_2	English	Luna's Adventure	Understand exploration themes.
CLASS_2	English	Cupcake	Learn about cooking.
CLASS_2	English	I am the Music Man	Appreciate music.
CLASS_2	English	A Smile	Understand emotional expression.
CLASS_2	English	Rain	Appreciate nature poetry.
CLASS_2	Hindi	ऊँट चला	Understand animal stories.
CLASS_2	Hindi	भालू ने खेली फुटबॉल	Enjoy sports stories.
CLASS_2	Hindi	बंदर गया खेत में भाग	Understand farm settings.
CLASS_2	Hindi	अधिक बलवान कौन	Compare strengths.
CLASS_2	Hindi	दोस्त की मदद	Understand friendship values.
CLASS_2	Hindi	बहुत हुआ	Understand limits and boundaries.
CLASS_2	Mathematics	Shapes and Patterns	Identify 2D and 3D shapes.
CLASS_2	Mathematics	Addition	Add two-digit numbers.
CLASS_2	Mathematics	Subtraction	Subtract two-digit numbers.
CLASS_2	Mathematics	Multiplication	Understand repeated addition.
CLASS_2	Mathematics	Money	Recognize currency notes.
CLASS_2	Mathematics	Time	Read time to half hour.
CLASS_2	EVS	What's Around Us	Observe surroundings.
CLASS_2	EVS	Our Families	Understand extended family.
CLASS_2	EVS	Food and Clothes	Identify food sources.
CLASS_2	EVS	Living and Non-living Things	Differentiate living from non-living.
CLASS_3	English	Magic Garden	Understand fantasy elements.
CLASS_3	English	Birds Talk	Learn about bird communication.
CLASS_3	English	Nina and the Baby Sparrows	Understand compassion for animals.
CLASS_3	English	The Little Fir Tree	Understand contentment.
CLASS_3	English	The Enormous Turnip	Understand teamwork.
CLASS_3	English	Sea Song	Appreciate marine life.
CLASS_3	English	Little by Little	Understand perseverance.
CLASS_3	Hindi	कक्का	Understand family relationships.
CLASS_3	Hindi	शेखीबाज़ मक्खी	Understand humility.
CLASS_3	Hindi	चाँद वाली अम्मा	Appreciate family bonds.
CLASS_3	Hindi	मन करता है	Express desires and wishes.
CLASS_3	Hindi	बहादुर बित्तो	Understand courage.
CLASS_3	Mathematics	Addition and Subtraction	Add and subtract three-digit numbers.
CLASS_3	Mathematics	Multiplication	Learn multiplication tables.
CLASS_3	Mathematics	Fractions	Understand fraction concept.
CLASS_3	Mathematics	Money	Make change.
CLASS_3	Mathematics	Time	Read time to 5 minutes.
CLASS_3	Mathematics	Measurement	Use standard units.
CLASS_3	EVS	Poonam's Day Out	Understand community places.
CLASS_3	EVS	Plant Life	Understand plant life cycle.
CLASS_3	EVS	Animal Life	Understand animal habitats.
CLASS_3	EVS	Food We Eat	Identify food groups.
CLASS_4	English	Wake Up!	Understand morning routines.
CLASS_4	English	Noses	Learn about diversity.
CLASS_4	English	Run	Understand physical activity.
CLASS_4	English	Alice in Wonderland	Understand fantasy literature.
CLASS_4	English	Helen Keller	Understand disabilities.
CLASS_4	English	The Treasure Within	Recognize individual talents.
CLASS_4	English	Hiawatha	Understand native cultures.
CLASS_4	English	A Watering Rhyme	Appreciate nature poetry.
CLASS_4	Hindi	मन के भोले-भाले बादल	Appreciate nature poetry.
CLASS_4	Hindi	जैसा सवाल वैसा जवाब	Understand cause and effect.
CLASS_4	Hindi	पोंगल	Learn about festivals.
CLASS_4	Hindi	अधिक बलवान कौन	Understand strength types.
CLASS_4	Hindi	किरमिच की गेंद	Understand childhood games.
CLASS_4	Mathematics	Building with Bricks	Understand 3D shapes.
CLASS_4	Mathematics	Long and Short	Measure lengths accurately.
CLASS_4	Mathematics	A Trip to Bhopal	Calculate distances.
CLASS_4	Mathematics	Tick-Tick-Tick	Read and calculate time.
CLASS_4	Mathematics	The Way the World Looks	Understand perspectives.
CLASS_4	Mathematics	The Junk Seller	Understand weight measurement.
CLASS_4	Mathematics	Jugs and Mugs	Measure capacity.
CLASS_4	EVS	Going to School	Understand transport modes.
CLASS_4	EVS	Ear to Ear	Learn about hearing.
CLASS_4	EVS	A Day with Nandu	Understand animal behavior.
CLASS_4	EVS	The Story of Amrita	Understand environmental conservation.
CLASS_4	EVS	Anita and the Honeybees	Learn about bees.
CLASS_5	English	Ice-cream Man	Appreciate poetry.
CLASS_5	English	Wonderful Waste	Understand recycling.
CLASS_5	English	Malu Bhalu	Understand animal stories.
CLASS_5	English	Who Did Patrick's Homework?	Understand responsibility.
CLASS_5	English	Teamwork	Understand cooperation.
CLASS_5	English	Crying	Understand emotions.
CLASS_5	English	Gulliver's Travels	Understand adventure literature.
CLASS_5	English	Topsy-Turvy Land	Understand fantasy poetry.
CLASS_5	Hindi	राख की रस्सी	Understand folk tales.
CLASS_5	Hindi	फसलों के त्योहार	Learn about harvest festivals.
CLASS_5	Hindi	छोटी-सी हमारी नदी	Understand river importance.
CLASS_5	Hindi	नन्हा फनकार	Appreciate artistic talent.
CLASS_5	Hindi	जहाँ चाह वहाँ राह	Understand determination.
CLASS_5	Mathematics	The Fish Tale	Understand large numbers.
CLASS_5	Mathematics	Shapes and Angles	Identify angles.
CLASS_5	Mathematics	How Many Squares?	Calculate area.
CLASS_5	Mathematics	Parts and Wholes	Understand fractions.
CLASS_5	Mathematics	Does it Look the Same?	Understand symmetry.
CLASS_5	Mathematics	Be My Multiple	Understand factors.
